ir,pr,spo2,rrInterval
468582,62,99,94
468716,62,99,94
468828,62,99,94
468956,62,99,94
469079,62,99,94
469233,62,99,94
469354,62,99,94
469485,62,99,94
469655,62,99,94
469775,62,99,94
469897,62,99,94
470039,62,99,94
470157,62,99,94
470228,62,99,94
470350,62,99,94
470528,62,99,94
470663,62,99,94
470826,62,99,94
471006,62,99,94
471161,62,99,94
471319,62,99,94
471532,62,99,94
471724,62,99,94
471906,62,99,94
472154,62,99,94
472341,62,99,94
472563,62,99,94
472743,62,99,94
472892,62,99,94
473118,62,99,94
473283,62,99,94
473458,62,99,94
473631,62,99,94
473720,62,99,94
473775,62,99,94
473648,62,99,94
473270,62,99,94
472648,62,99,94
471729,62,99,94
470581,62,99,94
469268,62,99,94
468075,62,99,94
467036,62,99,94
466199,62,99,94
465616,62,99,94
465274,62,99,94
465123,62,99,94
465077,62,99,94
465167,62,99,94
465271,62,99,94
465389,62,99,94
465571,62,99,94
465675,62,99,94
465692,62,99,94
465696,62,99,94
465624,62,99,94
465546,62,99,94
465438,62,99,94
465404,62,99,94
465443,62,99,94
465505,62,99,94
465601,62,99,95
465782,62,99,95
465982,62,99,95
466085,62,99,95
466208,62,99,95
466288,62,99,95
466313,62,99,95
466305,62,99,95
466266,62,99,95
466228,62,99,95
466181,62,99,95
466186,62,99,95
466191,62,99,95
466257,62,99,95
466350,62,99,95
466389,62,99,95
466537,62,99,95
466657,62,99,95
466758,62,99,95
466927,62,99,95
467051,62,99,95
467163,62,99,95
467337,62,99,95
467468,62,99,95
467595,62,99,95
467709,62,99,95
467835,62,99,95
467912,62,99,95
468002,62,99,95
468142,62,99,95
468218,62,99,95
468324,62,99,95
468448,62,99,95
468566,62,99,95
468668,62,99,95
468775,62,99,95
468878,62,99,95
468962,62,99,95
469019,62,99,95
469106,62,99,95
469186,62,99,95
469296,62,99,95
469472,62,99,95
469623,62,99,95
469803,62,99,95
469992,62,99,95
470218,62,99,95
470407,62,99,95
470564,62,99,95
470787,62,99,95
470980,62,99,95
471174,62,99,95
471386,62,99,95
471582,62,99,95
471771,62,99,95
471948,62,99,95
472121,62,99,95
472294,62,99,95
472478,62,99,95
472683,62,99,95
472856,62,99,95
473057,62,99,95
473277,62,99,95
473434,62,99,95
473556,62,99,95
473687,62,99,95
473786,62,99,95
473835,62,99,95
473898,62,99,95
473799,62,99,95
473505,62,99,95
472994,62,99,95
472195,62,99,95
471128,62,99,95
469935,62,99,95
468805,62,99,95
467784,62,99,95
466960,62,99,95
466367,62,99,95
465973,62,99,95
465802,62,99,95
465775,62,99,95
465849,62,99,95
465995,62,99,95
466152,62,99,95
466323,62,99,95
466392,62,99,95
466400,62,99,95
466354,62,99,95
466246,62,99,95
466119,62,99,95
465967,62,99,95
465906,62,99,95
465860,62,99,95
465905,62,99,95
465986,62,99,95
466087,62,99,96
466187,62,99,96
466219,62,99,96
466242,62,99,96
466191,62,99,96
466097,62,99,96
465955,62,99,96
465820,62,99,96
465677,62,99,96
465570,62,99,96
465493,62,99,96
465411,62,99,96
465396,62,99,96
465412,62,99,96
465464,62,99,96
465570,62,99,96
465703,62,99,96
465835,62,99,96
465985,62,99,96
466125,62,99,96
466261,62,99,96
466380,62,99,96
466450,62,99,96
466563,62,99,96
466705,62,99,96
466818,62,99,96
466893,62,99,96
467005,62,99,96
467108,62,99,96
467167,62,99,96
467263,62,99,96
467341,62,99,96
467440,62,99,96
467528,62,99,96
467582,62,99,96
467689,62,99,96
467777,62,99,96
467823,62,99,96
467955,62,99,96
468055,62,99,96
468111,62,99,96
468218,62,99,96
468302,62,99,96
468396,62,99,96
468504,62,99,96
468617,62,99,96
468714,62,99,96
468832,62,99,96
