ir,pr,spo2,rrInterval
414991,61,100,98
414871,61,100,98
414782,61,100,98
414695,61,100,98
414577,61,100,98
414487,61,100,98
414342,61,100,98
414207,61,100,98
414116,61,100,98
414032,61,100,98
414035,61,100,98
414085,61,100,98
414220,61,100,98
414426,61,100,98
414638,61,100,101
414855,61,100,101
415061,61,100,101
415190,61,100,101
415291,61,100,101
415347,61,100,101
415338,61,100,101
415296,61,100,101
415181,61,100,101
415075,61,100,101
414986,61,100,101
414849,61,100,101
414805,61,100,101
414822,61,100,101
414882,61,100,101
414953,61,100,101
415153,61,100,101
415384,61,100,101
415592,61,100,101
415936,61,100,101
416245,61,100,101
416558,61,100,101
416927,61,100,101
417283,61,100,101
417638,61,100,101
418012,61,100,101
418385,61,100,101
418770,61,100,101
419169,61,100,101
419562,61,100,101
419950,61,100,101
420334,61,100,101
420687,61,100,101
421045,61,100,101
421384,61,100,101
421693,61,100,101
422020,61,100,101
422337,61,100,101
422652,61,100,101
422946,61,100,101
423291,61,100,101
423582,61,100,101
423858,61,100,101
424170,61,100,101
424517,61,100,101
424822,61,100,101
425111,61,100,101
425470,61,100,101
425801,61,100,101
426124,61,100,101
426452,61,100,101
426814,61,100,101
427172,61,100,101
427484,61,100,101
427846,61,100,101
428221,61,100,101
428577,61,100,101
428946,61,100,101
429325,61,100,101
429729,61,100,101
430111,61,100,101
430558,61,100,101
430997,61,100,101
431444,61,100,101
431850,61,100,101
432280,61,100,101
432577,61,100,101
432536,61,100,101
432151,61,100,101
431377,61,100,101
430077,61,100,101
428293,61,100,101
426343,61,100,101
424492,61,100,101
422798,61,100,101
421276,61,100,101
419999,61,100,101
418980,61,100,101
418160,61,100,101
417578,61,100,101
417197,61,100,101
416927,61,100,101
416808,61,100,101
416745,61,100,101
416741,61,100,101
416758,61,100,101
416748,61,100,101
416770,61,100,101
416759,61,100,101
416751,61,100,101
416775,61,100,101
416817,61,100,101
416911,61,100,101
417084,61,100,101
417305,61,100,101
417565,61,100,101
417865,61,100,96
418127,61,100,96
418289,61,100,96
418413,61,100,96
418491,61,100,96
418517,61,100,96
418464,61,100,96
418376,61,100,96
418298,61,100,96
418180,61,100,96
418042,61,100,96
417972,61,100,96
417917,61,100,96
417898,61,100,96
417942,61,100,96
418073,61,100,96
418250,61,100,96
418465,61,100,96
418727,61,100,96
419021,61,100,96
419317,61,100,96
419658,61,100,96
419999,61,100,96
420365,61,100,96
420741,61,100,96
421111,61,100,96
421512,61,100,96
421883,61,100,96
422271,61,100,96
422662,61,100,96
423018,61,100,96
423387,61,100,96
423737,61,100,96
424098,61,100,96
424462,61,100,96
424791,61,100,96
425110,61,100,96
425459,61,100,96
425748,61,100,96
426048,61,100,96
426357,61,100,96
426618,61,100,96
426935,61,100,96
427246,61,100,96
427524,61,100,96
427860,61,100,96
428178,61,100,96
428474,61,100,96
428810,61,100,96
429133,61,100,96
429461,61,100,96
429828,61,100,96
430160,61,100,96
430514,61,100,96
430873,61,100,96
431225,61,100,96
431603,61,100,96
432027,61,100,96
432465,61,100,96
432929,61,100,96
433383,61,100,96
433735,61,100,96
433932,61,100,96
433803,61,100,96
433222,61,100,96
432133,61,100,96
430510,61,100,96
428513,61,100,96
426400,61,100,96
424432,61,100,96
422682,61,100,96
421118,61,100,96
419824,61,100,96
418783,61,100,96
417947,61,100,96
417306,61,100,96
416826,61,100,96
416509,61,100,96
416238,61,100,96
416038,61,100,96
415890,61,100,96
415735,61,100,96
415601,61,100,96
415440,61,100,96
415267,61,100,96
415114,61,100,96
414932,61,100,96
414767,61,100,96
414687,61,100,96
414678,61,100,96
414728,61,100,96
414833,61,100,96
415010,61,100,96
415246,61,100,93
415439,61,100,93
415614,61,100,93
415796,61,100,93
415893,61,100,93
415936,61,100,93
415952,61,100,93
415880,61,100,93
415811,61,100,93
415767,61,100,93
415719,61,100,93
415680,61,100,93
415694,61,100,93
415781,61,100,93
415842,61,100,93
415974,61,100,93
416197,61,100,93
416419,61,100,93
416700,61,100,93
417005,61,100,93
417332,61,100,93
417667,61,100,93
418014,61,100,93
418401,61,100,93
418768,61,100,93
419146,61,100,93
419551,61,100,93
419916,61,100,93
420304,61,100,93
420712,61,100,93
421084,61,100,93
421455,61,100,93
421835,61,100,93
422207,61,100,93
422552,61,100,93
422891,61,100,93
423220,61,100,93
423555,61,100,93
423907,61,100,93
424213,61,100,93
424546,61,100,93
424890,61,100,93
425213,61,100,93
425542,61,100,93
425918,61,100,93
426269,61,100,93
426595,61,100,93
426969,61,100,93
427336,61,100,93
427698,61,100,93
428098,61,100,93
428477,61,100,93
428834,61,100,93
429232,61,100,93
429652,61,100,93
430039,61,100,93
430450,61,100,93
430876,61,100,93
431282,61,100,93
431701,61,100,93
432096,61,100,93
432504,61,100,93
432941,61,100,93
433389,61,100,93
433828,61,100,93
434301,61,100,93
434798,61,100,93
435252,61,100,93
435592,61,100,93
435699,61,100,93
435373,61,100,93
434588,61,100,93
433276,61,100,93
431359,61,100,93
429162,61,100,93
426979,61,100,93
424940,61,100,93
423130,61,100,93
421577,61,100,93
420283,61,100,93
419218,61,100,93
418414,61,100,93
417810,61,100,93
417350,61,100,93
417041,61,100,93
416827,61,100,93
416645,61,100,93
416503,61,100,93
416386,61,100,93
416246,61,100,93
416115,61,100,93
415972,61,100,93
415782,61,100,93
415568,61,100,93
415460,61,100,93
415385,61,100,93
415348,61,100,93
415441,61,100,93
415570,61,100,93
415752,61,99,99
415958,61,99,99
416112,61,99,99
416266,61,99,99
416363,61,99,99
416430,61,99,99
416466,61,99,99
416447,61,99,99
416421,61,99,99
416338,61,99,99
416265,61,99,99
416184,61,99,99
416110,61,99,99
416117,61,99,99
416123,61,99,99
416193,61,99,99
416348,61,99,99
416541,61,99,99
416785,61,99,99
417061,61,99,99
417379,61,99,99
417723,61,99,99
418082,61,99,99
418434,61,99,99
418805,61,99,99
419211,61,99,99
419597,61,99,99
419986,61,99,99
420375,61,99,99
420757,61,99,99
421143,61,99,99
421537,61,99,99
421916,61,99,99
422291,61,99,99
422687,61,99,99
423036,61,99,99
423366,61,99,99
423775,61,99,99
424119,61,99,99
424423,61,99,99
424808,61,99,99
425152,61,99,99
425436,61,99,99
425792,61,99,99
426137,61,99,99
426469,61,99,99
426823,61,99,99
427169,61,99,99
427539,61,99,99
427876,61,99,99
428235,61,99,99
428642,61,99,99
429029,61,99,99
429432,61,99,99
429843,61,99,99
430257,61,99,99
430671,61,99,99
431095,61,99,99
431529,61,99,99
431938,61,99,99
432366,61,99,99
432790,61,99,99
433213,61,99,99
433660,61,99,99
434112,61,99,99
434551,61,99,99
435023,61,99,99
435522,61,99,99
435983,61,99,99
436437,61,99,99
436816,61,99,99
436989,61,99,99
436739,61,99,99
436046,61,99,99
434834,61,99,99
433004,61,99,99
430857,61,99,99
428706,61,99,99
426746,61,99,99
425000,61,99,99
423485,61,99,99
422201,61,99,99
421223,61,99,99
420510,61,99,99
419929,61,99,99
419586,61,99,99
419378,61,99,99
419207,61,99,99
419142,61,99,99
419082,61,99,99
419037,61,99,99
