ir,pr,spo2,rrInterval
653128,74,100,76
651963,74,100,76
651154,74,100,76
650668,74,100,76
650411,74,100,76
650361,74,100,76
650418,74,100,76
650533,74,100,76
650725,74,100,76
650890,74,100,76
651014,74,100,76
651150,74,100,76
651241,74,100,76
651363,74,100,76
651509,74,100,76
651675,74,100,76
651913,74,100,76
652176,74,100,76
652502,75,100,78
652714,75,100,78
652869,75,100,78
653042,75,100,78
653067,75,100,78
653019,75,100,78
652891,75,100,78
652675,75,100,78
652436,75,100,78
652218,75,100,78
652025,75,100,78
651950,75,100,78
651994,75,100,78
652156,75,100,78
652407,75,100,78
652729,75,100,78
653108,75,100,78
653502,75,100,78
653913,75,100,78
654326,75,100,78
654774,75,100,78
655267,75,100,78
655768,75,100,78
656258,75,100,78
656769,75,100,78
657288,75,100,78
657827,75,100,78
658356,75,100,78
658870,75,100,78
659389,75,100,78
659926,75,100,78
660400,75,100,78
660858,75,100,78
661382,75,100,78
661858,75,100,78
662297,75,100,78
662753,75,100,78
663202,75,100,78
663647,75,100,78
664080,75,100,78
664459,75,100,78
664877,75,100,78
665273,75,100,78
665652,75,100,78
666050,75,100,78
666432,75,100,78
666888,75,100,78
667351,75,100,78
667785,75,100,78
668278,75,100,78
668608,75,100,78
668664,75,100,78
668394,75,100,78
667592,75,100,78
666136,75,100,78
664046,75,100,78
661549,75,100,78
658924,75,100,78
656469,75,100,78
654236,75,100,78
652392,75,100,78
651023,75,100,78
649988,75,100,78
649309,75,100,78
648893,75,100,78
648742,75,100,78
648797,75,100,78
648956,75,100,78
649144,75,100,78
649355,75,100,78
649571,75,100,78
649742,75,100,78
649856,75,100,78
649971,75,100,78
650109,75,100,78
650252,75,100,78
650480,75,100,78
650765,75,100,78
651042,75,100,78
651355,75,100,79
651661,75,100,79
651894,75,100,79
652065,75,100,79
652160,75,100,79
652160,75,100,79
652084,75,100,79
651927,75,100,79
651755,75,100,79
651600,75,100,79
651453,75,100,79
651429,75,100,79
651517,75,100,79
651710,75,100,79
652030,75,100,79
652447,75,100,79
652935,75,100,79
653438,75,100,79
653971,75,100,79
654508,75,100,79
655018,75,100,79
655500,75,100,79
656012,75,100,79
656535,75,100,79
657031,75,100,79
657581,75,100,79
658116,75,100,79
658663,75,100,79
659221,75,100,79
659737,75,100,79
660321,75,100,79
660856,75,100,79
661337,75,100,79
661824,75,100,79
662289,75,100,79
662791,75,100,79
663219,75,100,79
663673,75,100,79
664156,75,100,79
664626,75,100,79
665119,75,100,79
665556,75,100,79
666044,75,100,79
666467,75,100,79
666914,75,100,79
667422,75,100,79
667811,75,100,79
668280,75,100,79
668777,75,100,79
669279,75,100,79
669780,75,100,79
670262,75,100,79
670583,75,100,79
670506,75,100,79
669954,75,100,79
668798,75,100,79
666990,75,100,79
664670,75,100,79
662133,75,100,79
659673,75,100,79
657524,75,100,79
655789,75,100,79
654441,75,100,79
653545,75,100,79
653056,75,100,79
652829,75,100,79
652806,75,100,79
653029,75,100,79
653297,75,100,79
653577,75,100,79
653926,75,100,79
654186,75,100,79
654466,75,100,79
654706,75,100,79
654938,75,100,79
655190,75,100,79
655456,75,100,79
