ir,pr,spo2,rrInterval
690021,62,99,94
690104,62,99,94
690173,62,99,94
690283,62,99,94
690395,62,99,94
690480,62,99,94
690591,62,99,94
690738,62,99,94
690835,62,99,94
690953,62,99,94
691108,62,99,94
691226,62,99,94
691364,62,99,94
691470,62,99,94
691584,62,99,94
691755,62,99,94
691868,62,99,94
691990,62,99,94
692165,62,99,94
692289,62,99,94
692411,62,99,94
692591,62,99,94
692694,62,99,94
692790,62,99,94
692949,62,99,94
693071,62,99,94
693174,62,99,94
693343,62,99,94
693483,62,99,94
693588,62,99,94
693789,62,99,94
693960,62,99,94
694091,62,99,94
694279,62,99,94
694457,62,99,94
694584,62,99,94
694708,62,99,94
694858,62,99,94
694710,62,99,94
694385,62,99,94
693914,62,99,94
693034,62,99,94
691988,62,99,94
690785,62,99,94
689540,62,99,94
688569,62,99,94
687783,62,99,94
687159,62,99,94
686852,62,99,94
686704,62,99,94
686731,62,99,94
686899,62,99,94
687061,62,99,94
687270,62,99,94
687459,62,99,94
687561,62,99,94
687645,62,99,94
687678,62,99,94
687641,62,99,94
687565,62,99,94
687502,62,99,94
687450,62,99,94
687430,62,99,94
687479,62,99,94
687520,62,100,95
687607,62,100,95
687655,62,100,95
687631,62,100,95
687610,62,100,95
687549,62,100,95
687441,62,100,95
687308,62,100,95
687241,62,100,95
687128,62,100,95
687050,62,100,95
687002,62,100,95
686949,62,100,95
686962,62,100,95
687011,62,100,95
687052,62,100,95
687138,62,100,95
687287,62,100,95
687400,62,100,95
687506,62,100,95
687627,62,100,95
687735,62,100,95
687863,62,100,95
687975,62,100,95
688076,62,100,95
688217,62,100,95
688321,62,100,95
688448,62,100,95
688545,62,100,95
688594,62,100,95
688714,62,100,95
688830,62,100,95
688871,62,100,95
688974,62,100,95
689131,62,100,95
689185,62,100,95
689277,62,100,95
689426,62,100,95
689503,62,100,95
689577,62,100,95
689678,62,100,95
689794,62,100,95
689865,62,100,95
689982,62,100,95
690081,62,100,95
690208,62,100,95
690344,62,100,95
690463,62,100,95
690647,62,100,95
690768,62,100,95
690904,62,100,95
691051,62,100,95
691190,62,100,95
691374,62,100,95
691519,62,100,95
691699,62,100,95
691851,62,100,95
691969,62,100,95
692085,62,100,95
692247,62,100,95
692390,62,100,95
692509,62,100,95
692752,62,100,95
692930,62,100,95
693080,62,100,95
693319,62,100,95
693430,62,100,95
693483,62,100,95
693548,62,100,95
693413,62,100,95
693048,62,100,95
692458,62,100,95
691567,62,100,95
690449,62,100,95
689228,62,100,95
688048,62,100,95
687053,62,100,95
686308,62,100,95
685813,62,100,95
685522,62,100,95
685453,62,100,95
685517,62,100,95
685706,62,100,95
685910,62,100,95
686115,62,100,95
686294,62,100,95
686382,62,100,95
686427,62,100,95
686362,62,100,95
686312,62,100,95
686260,62,100,95
686170,62,100,95
686129,62,100,95
686174,62,100,95
686184,62,100,95
686232,62,99,95
686341,62,99,95
686338,62,99,95
686350,62,99,95
686338,62,99,95
686259,62,99,95
686152,62,99,95
686035,62,99,95
685897,62,99,95
685783,62,99,95
685718,62,99,95
685612,62,99,95
685635,62,99,95
685680,62,99,95
685722,62,99,95
685836,62,99,95
685943,62,99,95
686119,62,99,95
686258,62,99,95
686406,62,99,95
686540,62,99,95
686642,62,99,95
686786,62,99,95
686906,62,99,95
686996,62,99,95
687118,62,99,95
687270,62,99,95
687419,62,99,95
687504,62,99,95
687590,62,99,95
687721,62,99,95
687781,62,99,95
687857,62,99,95
687936,62,99,95
688040,62,99,95
688140,62,99,95
688233,62,99,95
688303,62,99,95
688417,62,99,95
688534,62,99,95
688655,62,99,95
688755,62,99,95
688856,62,99,95
689031,62,99,95
689102,62,99,95
689209,62,99,95
689359,62,99,95
689449,62,99,95
689526,62,99,95
689656,62,99,95
689807,62,99,95
689958,62,99,95
690098,62,99,95
690229,62,99,95
690377,62,99,95
690493,62,99,95
690618,62,99,95
690733,62,99,95
690851,62,99,95
691041,62,99,95
691140,62,99,95
691228,62,99,95
691425,62,99,95
691579,62,99,95
691716,62,99,95
691949,62,99,95
692132,62,99,95
692241,62,99,95
692383,62,99,95
692415,62,99,95
692277,62,99,95
691896,62,99,95
691289,62,99,95
690407,62,99,95
689212,62,99,95
687986,62,99,95
686821,62,99,95
685834,62,99,95
685060,62,99,95
684486,62,99,95
684190,62,99,95
684067,62,99,95
684081,62,99,95
684232,62,99,95
684441,62,99,95
684601,62,99,95
684727,62,99,95
684785,62,99,95
684778,62,99,95
684760,62,99,95
684621,62,99,95
684512,62,99,95
684415,62,99,95
684314,62,99,95
684288,62,99,95
684269,62,99,95
684363,62,99,96
684427,62,99,96
684433,62,99,96
684444,62,99,96
684386,62,99,96
684269,62,99,96
684136,62,99,96
684022,62,99,96
683920,62,99,96
683803,62,99,96
683710,62,99,96
683641,62,99,96
683627,62,99,96
683584,62,99,96
683578,62,99,96
683608,62,99,96
683616,62,99,96
683670,62,99,96
683799,62,99,96
683901,62,99,96
683952,62,99,96
684089,62,99,96
684195,62,99,96
684267,62,99,96
684438,62,99,96
684572,62,99,96
684677,62,99,96
684797,62,99,96
684906,62,99,96
684994,62,99,96
685081,62,99,96
685182,62,99,96
685256,62,99,96
685343,62,99,96
685407,62,99,96
685503,62,99,96
685598,62,99,96
685677,62,99,96
685743,62,99,96
685857,62,99,96
685949,62,99,96
686025,62,99,96
686172,62,99,96
686266,62,99,96
686356,62,99,96
686478,62,99,96
686552,62,99,96
686662,62,99,96
686773,62,99,96
686897,62,99,96
687035,62,99,96
687174,62,99,96
687333,62,99,96
687464,62,99,96
687628,62,99,96
687786,62,99,96
687908,62,99,96
688036,62,99,96
688209,62,99,96
688358,62,99,96
688479,62,99,96
688626,62,99,96
688798,62,99,96
688962,62,99,96
689104,62,99,96
689265,62,99,96
689432,62,99,96
689555,62,99,96
689733,62,99,96
689841,62,99,96
689866,62,99,96
689861,62,99,96
689604,62,99,96
689113,62,99,96
688399,62,99,96
687343,62,99,96
686121,62,99,96
684848,62,99,96
683758,62,99,96
682868,62,99,96
682177,62,99,96
681751,62,99,96
681519,62,99,96
681486,62,99,96
681573,62,99,96
681730,62,99,96
681901,62,99,96
682069,62,99,96
682146,62,99,96
682196,62,99,96
682158,62,99,96
682028,62,99,96
681910,62,99,96
681747,62,99,96
681622,62,99,96
681552,62,99,96
681487,62,99,96
681485,62,99,96
681566,62,99,98
681640,62,99,98
681711,62,99,98
681722,62,99,98
681662,62,99,98
681613,62,99,98
681480,62,99,98
681305,62,99,98
681175,62,99,98
681054,62,99,98
680948,62,99,98
680886,62,99,98
680878,62,99,98
680898,62,99,98
680945,62,99,98
681044,62,99,98
681123,62,99,98
681236,62,99,98
681357,62,99,98
681474,62,99,98
681592,62,99,98
681702,62,99,98
681848,62,99,98
681957,62,99,98
682103,62,99,98
682254,62,99,98
682370,62,99,98
682454,62,99,98
682592,62,99,98
682710,62,99,98
682802,62,99,98
682920,62,99,98
683033,62,99,98
683150,62,99,98
683204,62,99,98
683302,62,99,98
683451,62,99,98
683486,62,99,98
683587,62,99,98
683711,62,99,98
683809,62,99,98
683962,62,99,98
684085,62,99,98
684251,62,99,98
684377,62,99,98
684502,62,99,98
684618,62,99,98
684809,62,99,98
684947,62,99,98
685105,62,99,98
685301,62,99,98
685450,62,99,98
685584,62,99,98
685767,62,99,98
685902,62,99,98
686010,62,99,98
686193,62,99,98
686320,62,99,98
686442,62,99,98
686570,62,99,98
686683,62,99,98
686864,62,99,98
687033,62,99,98
687095,62,99,98
687316,62,99,98
687483,62,99,98
687607,62,99,98
687772,62,99,98
687909,62,99,98
688129,62,99,98
688264,62,99,98
688373,62,99,98
688307,62,99,98
688028,62,99,98
687529,62,99,98
686703,62,99,98
685618,62,99,98
684372,62,99,98
683186,62,99,98
682139,62,99,98
681248,62,99,98
680693,62,99,98
680342,62,99,98
680138,62,99,98
680205,62,99,98
680324,62,99,98
680500,62,99,98
680729,62,99,98
680879,62,99,98
681029,62,99,98
681087,62,99,98
681016,62,99,98
680916,62,99,98
680782,62,99,98
680610,62,99,98
680474,62,99,98
680413,62,99,98
680421,62,99,98
680507,62,99,98
680592,62,99,98
680695,62,99,98
680741,62,99,98
680663,62,99,98
680627,62,99,98
680513,62,99,98
680383,62,99,98
680278,62,99,98
680163,62,99,98
680064,62,99,98
679983,62,99,98
680036,62,99,98
680070,62,99,98
680093,62,99,98
680194,62,99,98
680312,62,99,98
680471,62,99,98
680639,62,99,98
680803,62,99,98
680987,62,99,98
681106,62,99,98
681225,62,99,98
681350,62,99,98
681486,62,99,98
681578,62,99,98
681717,62,99,98
681866,62,99,98
681931,62,99,98
682046,62,99,98
682167,62,99,98
682233,62,99,98
682267,62,99,98
682411,62,99,98
682489,62,99,98
682571,62,99,98
682740,62,99,98
682824,62,99,98
682945,62,99,98
683042,62,99,98
683187,62,99,98
683340,62,99,98
683439,62,99,98
683616,62,99,98
683773,62,99,98
683881,62,99,98
684069,62,99,98
684223,62,99,98
684358,62,99,98
684526,62,99,98
684651,62,99,98
684783,62,99,98
684902,62,99,98
685048,62,99,98
685199,62,99,98
685305,62,99,98
685465,62,99,98
685629,62,99,98
685767,62,99,98
685978,62,99,98
686101,62,99,98
686235,62,99,98
686438,62,99,98
686574,62,99,98
686772,62,99,98
686991,62,99,98
687168,62,99,98
687360,62,99,98
687572,62,99,98
687747,62,99,98
687900,62,99,98
688103,62,99,98
688239,62,99,98
688298,62,99,98
688345,62,99,98
688097,62,99,98
687528,62,99,98
686738,62,99,98
685666,62,99,98
684410,62,99,98
683156,62,99,98
682082,62,99,98
681181,62,99,98
680578,62,99,98
680217,62,99,98
680041,62,99,98
680095,62,99,98
680291,62,99,98
680471,62,99,98
680689,62,99,98
680954,62,99,98
681086,62,99,98
681207,62,99,98
681168,62,99,98
681141,62,99,98
681109,62,99,98
681003,62,99,98
680954,62,99,98
680924,62,99,98
680943,62,99,98
680964,62,99,100
681004,62,99,100
681049,62,99,100
681091,62,99,100
681096,62,99,100
681086,62,99,100
681030,62,99,100
680903,62,99,100
680774,62,99,100
680671,62,99,100
680548,62,99,100
680458,62,99,100
680386,62,99,100
680392,62,99,100
680408,62,99,100
680479,62,99,100
680576,62,99,100
680677,62,99,100
680848,62,99,100
680972,62,99,100
681098,62,99,100
681239,62,99,100
681345,62,99,100
681520,62,99,100
681696,62,99,100
681824,62,99,100
681991,62,99,100
682172,62,99,100
682327,62,99,100
682481,62,99,100
682672,62,99,100
682843,62,99,100
683003,62,99,100
683110,62,99,100
683242,62,99,100
683356,62,99,100
683413,62,99,100
683527,62,99,100
683642,62,99,100
683701,62,99,100
683786,62,99,100
683887,62,99,100
684002,62,99,100
684129,62,99,100
684234,62,99,100
684362,62,99,100
684478,62,99,100
684603,62,99,100
684726,62,99,100
684915,62,99,100
685092,62,99,100
685179,62,99,100
685356,62,99,100
685521,62,99,100
685691,62,99,100
685901,62,99,100
686053,62,99,100
686273,62,99,100
686472,62,99,100
686597,62,99,100
686810,62,99,100
686997,62,99,100
687153,62,99,100
687371,62,99,100
687568,62,99,100
687772,62,99,100
687963,62,99,100
688135,62,99,100
688344,62,99,100
688518,62,99,100
688648,62,99,100
688783,62,99,100
688914,62,99,100
688963,62,99,100
688887,62,99,100
688641,62,99,100
688140,62,99,100
687348,62,99,100
686368,62,99,100
685172,62,99,100
683917,62,99,100
682876,62,99,100
682026,62,99,100
681466,62,99,100
681098,62,99,100
680953,62,99,100
681074,62,99,100
681200,62,99,100
681396,62,99,100
681723,62,99,100
681955,62,99,100
682114,62,99,100
682266,62,99,100
682306,62,99,100
682274,62,99,100
682224,62,99,100
682120,62,99,100
682021,62,99,100
682043,62,99,100
682052,62,99,100
682109,61,99,100
682254,61,99,100
682335,61,99,100
682377,61,99,100
682407,61,99,100
682389,61,99,100
682312,61,99,100
682209,61,99,100
